" ",,,"Outcome: Transphobia"
"Variable","β","SE","p"
"Heterosexual self-presentation","0.55","0.08","<.001"
"Emotional control","0.20","0.08","0.02"
"Risk-taking","−0.19","0.08","0.02"
"Feminist self-identification","−0.17","0.05","0.06"
"Power over women","0.11","0.09","0.32"
"Violence","0.06","0.07","0.41"
"Liberal feminist attitudes and ideology (LFAIS)","−0.09","0.10","0.42"
"Playboy","−0.06","0.07","0.44"
"Primacy of work","−0.02","0.07","0.82"
"Self-rated masculinity","0.02","0.10","0.84"
"Self-reliance","0.01","0.07","0.86"
"Winning","0.01","0.07","0.87"
"R2 = .67"," "," "," "
