CountryCode,question_label,target_group,age,answer,percentage
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,21
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,60
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,38
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,18
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",25
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,32
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",39
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),30
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,33
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,5
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,9
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,31
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,50
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,58
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,25
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",30
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,35
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",39
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),21
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,33
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,13
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,8
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,39
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,61
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,58
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,33
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",32
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,42
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",48
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),32
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,40
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,10
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,10
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,45
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,74
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,64
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,21
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",30
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,51
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",46
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),27
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,57
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,5
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,2
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,28
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,48
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,30
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,8
