CountryCode,question_label,target_group,partner,answer,percentage
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,4
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,20
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,54
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,22
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,18
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,42
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,32
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,7
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,24
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,41
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,27
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,8
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,32
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,30
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,27
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,11
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,13
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,21
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,37
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,29
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,5
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,22
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,51
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,22
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,4
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,19
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,51
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,26
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,16
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,30
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,38
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,17
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
